addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80035800	476	func_80035800	verified	0	u32	1	26	48	s0|s1|ra	
0x800359DC	216	func_800359DC	verified	0	u32	1	3	32	s0|s1|s2|ra	
0x80035AB4	640	func_80035AB4	verified	0	u32	1	2	40	s0|ra	
0x80035D34	236	func_80035D34	verified	1	u32	1	1	40	ra	
0x80035FD0	880	func_80035FD0	medium	4	u32	0	1	96	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	break|orphan
0x80036340	616	func_80036340	verified	3	u32	1	4	96	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	
0x800365A8	468	func_800365A8	high	0	u32	1	0	0		leaf
0x8003677C	20	func_8003677C	high	1	u32	4	0	0		leaf
0x80036790	104	func_80036790	verified	0	void	1	8	24	ra	
0x800367F8	152	func_800367F8	verified	0	u32	1	3	24	ra	
0x80036890	104	func_80036890	verified	0	u32	1	1	24	s0|ra	
0x800368F8	124	func_800368F8	verified	0	u32	2	4	32	s0|s1|s2|ra	
0x80036974	112	func_80036974	verified	2	u32	19	2	32	s0|s1|ra	
0x800369E4	372	func_800369E4	high	4	u32	3	0	0		leaf
0x80036C6C	48	func_80036C6C	high	4	u32	3	0	0		leaf
0x80036C9C	260	func_80036C9C	verified	4	u32	1	1	40	s0|ra	
0x80036DA0	112	func_80036DA0	verified	1	u32	2	2	56	ra	
0x80036EF4	268	func_80036EF4	verified	2	u32	1	2	40	s0|s1|s2|s3|s4|ra	
0x80037090	156	func_80037090	verified	3	u32	8	1	32	s0|s1|s2|ra	
0x8003712C	156	func_8003712C	verified	3	u32	8	1	32	s0|s1|s2|ra	
0x800371C8	160	func_800371C8	high	2	u32	23	0	0		leaf
0x800372EC	260	func_800372EC	high	4	u32	4	0	0		leaf
0x800373F0	300	func_800373F0	verified	4	u32	1	0	16	s0|s1|s2|s3	leaf
0x8003751C	96	func_8003751C	high	0	u32	5	0	0		leaf
0x8003757C	88	func_8003757C	verified	3	void	1	2	32	s0|s1|s2|ra	
0x80037708	184	func_80037708	verified	1	u32	15	4	56	s0|s1|ra	
0x800377C0	212	func_800377C0	verified	3	u32	4	4	48	s0|s1|s2|s3|s4|ra	
0x80037894	204	func_80037894	verified	1	u32	3	7	88	s0|s1|ra	
0x80037960	240	func_80037960	verified	1	u32	5	7	88	s0|s1|s2|ra	
0x80037A88	224	func_80037A88	verified	1	u32	8	2	32	s0|s1|s2|ra	
0x80037B68	52	func_80037B68	verified	0	u32	1	1	24	s0|ra	
0x80037B9C	36	func_80037B9C	high	1	u32	20	0	0		leaf
0x80037BC0	236	func_80037BC0	medium	1	u32	1	9	48	s0|s1|s2|s3|ra	
0x80037D24	4964	func_80037D24	high	0	u32	1	26	0	s0|s1|s2|s3|s4|ra	
0x80039088	872	func_80039088	verified	0	u32	1	25	32	s0|s1|s2|ra	
0x800393F0	688	func_800393F0	verified	0	u32	1	3	24	s0|ra	
0x800396A0	576	func_800396A0	verified	0	u32	2	7	32	s0|s1|ra	
0x800398E0	576	func_800398E0	high	0	u32	2	5	0	s0|s1|s2|s3|ra	
0x80039B20	3260	func_80039B20	high	0	u32	1	26	0	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	
0x8003A7DC	1028	func_8003A7DC	verified	0	u32	1	8	48	s0|s1|s2|ra	
0x8003ABE0	988	func_8003ABE0	verified	0	u32	1	9	48	s0|s1|s2|ra	
0x8003AFBC	1312	func_8003AFBC	verified	0	u32	1	9	56	s0|s1|s2|s3|ra	
0x8003B4DC	1712	func_8003B4DC	high	0	u32	1	5	0	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	
0x8003BB8C	256	func_8003BB8C	verified	0	u32	1	1	24	ra	
0x8003BC8C	324	func_8003BC8C	verified	0	u32	1	18	32	s0|s1|s2|ra	
0x8003BDD0	216	func_8003BDD0	verified	0	u32	1	3	32	s0|s1|s2|ra	
0x8003BEA8	452	func_8003BEA8	verified	0	u32	1	8	32	s0|s1|ra	
0x8003C06C	396	func_8003C06C	verified	0	u32	2	4	56	s0|s1|s2|s3|s4|s5|s6|s7|ra	
0x8003C1F8	776	func_8003C1F8	verified	0	u32	2	4	24	ra	
0x8003C500	7500	func_8003C500	high	1	u32	3	20	0	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	break
0x8003E24C	1352	func_8003E24C	verified	2	u32	1	2	32	s0|s1|s2|ra	break
0x8003E794	712	func_8003E794	verified	2	u32	1	2	32	s0|s1|s2|ra	break
0x8003EA5C	276	func_8003EA5C	high	2	u32	1	3	0	s0|s1|s2|s3|s4|ra	
0x8003EB70	732	func_8003EB70	verified	2	u32	1	4	56	s0|s1|s2|s3|s4|s5|s6|s7|ra	break
0x8003EE4C	540	func_8003EE4C	high	1	u32	1	1	0	s0|s1|s2|s3|s4|s5|s6|s7|ra	
0x8003F068	176	func_8003F068	verified	1	u32	1	1	24	ra	
0x8003F118	808	func_8003F118	medium	2	u32	0	0	8	s0	leaf|orphan
0x8003F440	192	func_8003F440	verified	0	u32	1	2	32	s0|s1|ra	
0x8003F500	196	func_8003F500	high	0	u32	1	3	0	s0|ra	
0x8003F5C4	108	func_8003F5C4	high	0	u32	1	3	0	ra	
